country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Uzbekistan,2010,female,75+ years,5,322899,Uzbekistan2010,0.655,"39,332,770,929",1533,Silent
Czech Republic,2014,male,25-34 years,157,752372,Czech Republic2014,0.87,"207,818,330,724",20859,Millenials
United Arab Emirates,2010,female,5-14 years,0,329210,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation Z
Puerto Rico,2013,male,35-54 years,75,458071,Puerto Rico2013,,"102,450,000,000",29510,Generation X
Czech Republic,1991,female,35-54 years,157,1443700,Czech Republic1991,,"29,675,502,270",3070,Boomers
Israel,1986,male,35-54 years,47,411300,Israel1986,,"34,083,532,195",8938,Silent
Republic of Korea,1998,male,15-24 years,629,4166000,Republic of Korea1998,,"374,241,351,752",8624,Generation X
Spain,2011,male,5-14 years,1,2317337,Spain2011,0.87,"1,488,067,258,325",34097,Generation Z
Hungary,1993,male,75+ years,300,168944,Hungary1993,,"40,119,073,326",4116,G.I. Generation
Serbia,2009,female,25-34 years,29,507066,Serbia2009,,"42,616,653,300",6116,Generation X
Greece,1996,female,75+ years,15,373612,Greece1996,,"145,861,612,826",14330,G.I. Generation
Philippines,2000,female,55-74 years,27,2713829,Philippines2000,0.623,"81,026,300,311",1205,Silent
Saint Lucia,2014,female,75+ years,0,4163,Saint Lucia2014,0.729,"1,551,921,037",9372,Silent
Belgium,2015,male,75+ years,177,392775,Belgium2015,,"455,039,563,133",42830,Silent
Cuba,2014,male,15-24 years,62,761440,Cuba2014,0.769,"80,656,100,000",7459,Millenials
Ecuador,1985,female,25-34 years,31,600800,Ecuador1985,0.631,"17,149,094,590",2238,Boomers
Australia,2003,female,55-74 years,91,1697104,Australia2003,,"466,294,700,058",25059,Silent
Italy,1994,female,75+ years,215,2347862,Italy1994,,"1,095,590,833,694",20235,G.I. Generation
Suriname,1990,female,5-14 years,0,43500,Suriname1990,,"388,300,000",1114,Generation X
Malta,2004,female,75+ years,2,13109,Malta2004,,"6,062,780,269",15916,Silent
Denmark,2013,male,35-54 years,174,785198,Denmark2013,0.923,"343,584,385,594",64831,Generation X
Republic of Korea,2014,male,55-74 years,2952,4819912,Republic of Korea2014,,"1,411,333,926,201",29120,Boomers
Estonia,2007,female,15-24 years,3,94785,Estonia2007,,"22,237,061,730",17504,Millenials
Austria,2001,male,15-24 years,101,488478,Austria2001,,"197,337,879,195",25848,Millenials
Spain,1989,male,5-14 years,18,2981100,Spain1989,,"413,630,538,018",11258,Generation X
Italy,1985,female,5-14 years,5,3898700,Italy1985,0.738,"450,725,816,043",8329,Generation X
Japan,2001,female,55-74 years,2870,15379000,Japan2001,,"4,303,544,259,843",35843,Silent
Australia,1994,female,75+ years,33,522900,Australia1994,,"322,201,314,424",19469,G.I. Generation
France,2000,female,35-54 years,1127,8501357,France2000,0.848,"1,362,248,940,483",24648,Boomers
Iceland,1997,female,15-24 years,2,20753,Iceland1997,,"7,548,912,105",30326,Generation X
Luxembourg,1993,male,35-54 years,22,57300,Luxembourg1993,,"16,486,900,187",44320,Boomers
Finland,1996,male,55-74 years,186,432600,Finland1996,,"132,099,404,608",27508,Silent
Portugal,1991,male,15-24 years,58,823743,Portugal1991,,"89,242,382,961",9483,Generation X
Argentina,1998,female,15-24 years,114,3200362,Argentina1998,,"298,948,250,000",9126,Generation X
Georgia,1996,female,15-24 years,4,358400,Georgia1996,,"3,094,915,506",718,Generation X
Japan,2002,female,55-74 years,2919,15754000,Japan2002,,"4,115,116,279,070",34239,Silent
Kazakhstan,2007,male,5-14 years,89,1202402,Kazakhstan2007,,"104,849,886,826",7423,Generation Z
Trinidad and Tobago,2001,female,25-34 years,4,93862,Trinidad and Tobago2001,,"8,824,873,259",7458,Generation X
Romania,2008,female,25-34 years,38,1674401,Romania2008,,"213,605,065,703",10454,Generation X
Greece,2013,female,35-54 years,37,1630105,Greece2013,0.863,"239,862,011,450",22994,Generation X
Philippines,2008,female,15-24 years,171,8697827,Philippines2008,,"174,195,136,253",2188,Millenials
Spain,1990,female,55-74 years,308,3971400,Spain1990,0.756,"535,101,248,776",14517,G.I. Generation
Trinidad and Tobago,2000,female,25-34 years,5,93571,Trinidad and Tobago2000,0.717,"8,154,338,233",6920,Generation X
Austria,2010,male,75+ years,180,240431,Austria2010,0.879,"391,892,746,545",49181,Silent
Mexico,2011,female,75+ years,6,1727144,Mexico2011,0.748,"1,180,489,563,964",10965,Silent
Latvia,1999,female,15-24 years,13,167800,Latvia1999,,"7,533,187,605",3228,Generation X
Trinidad and Tobago,1993,female,75+ years,0,16000,Trinidad and Tobago1993,,"4,669,488,516",4066,G.I. Generation
Greece,2010,female,55-74 years,11,1311605,Greece2010,0.867,"299,361,576,558",27886,Silent
Lithuania,2008,male,55-74 years,190,264954,Lithuania2008,,"47,850,551,149",15669,Silent
Puerto Rico,2006,male,15-24 years,38,296984,Puerto Rico2006,,"87,276,164,400",24943,Millenials
Luxembourg,2009,female,35-54 years,7,76687,Luxembourg2009,,"51,370,543,206",109483,Boomers
Panama,1988,female,55-74 years,4,90288,Panama1988,,"5,902,783,400",2859,G.I. Generation
Puerto Rico,2001,male,75+ years,20,81513,Puerto Rico2001,,"69,208,400,000",19649,Silent
Bahamas,1985,female,5-14 years,0,24500,Bahamas1985,,"2,320,699,900",11393,Generation X
Albania,1992,male,75+ years,0,23900,Albania1992,,"709,452,584",251,G.I. Generation
Trinidad and Tobago,1992,female,15-24 years,9,102800,Trinidad and Tobago1992,,"5,439,552,941",4803,Generation X
Serbia,2008,male,75+ years,175,204761,Serbia2008,,"49,259,526,053",7049,Silent
Uruguay,2000,female,55-74 years,22,303770,Uruguay2000,0.742,"22,823,255,802",7483,Silent
Kyrgyzstan,2013,female,55-74 years,8,271112,Kyrgyzstan2013,0.652,"7,335,027,592",1463,Boomers
Portugal,2008,male,35-54 years,236,1474833,Portugal2008,,"262,007,590,450",26121,Boomers
Bahrain,2004,male,35-54 years,10,150835,Bahrain2004,,"13,150,166,755",17497,Boomers
Turkmenistan,1997,female,55-74 years,6,178200,Turkmenistan1997,,"2,450,084,970",612,Silent
Luxembourg,2006,male,35-54 years,22,75006,Luxembourg2006,,"42,414,308,117",95351,Boomers
Belarus,1998,female,75+ years,78,316400,Belarus1998,,"15,222,012,660",1570,G.I. Generation
Turkmenistan,2010,male,15-24 years,42,554957,Turkmenistan2010,0.666,"22,583,157,895",4962,Millenials
Bulgaria,2002,female,35-54 years,77,1110364,Bulgaria2002,,"16,276,456,428",2157,Boomers
Turkmenistan,2009,female,5-14 years,2,478874,Turkmenistan2009,,"20,214,385,965",4508,Generation Z
Panama,1996,male,35-54 years,30,277304,Panama1996,,"9,870,494,000",3992,Boomers
Norway,2007,female,5-14 years,0,299559,Norway2007,,"401,082,621,083",90797,Generation Z
Slovenia,2012,male,15-24 years,20,113220,Slovenia2012,0.878,"46,352,802,766",23820,Millenials
Romania,1990,female,35-54 years,167,2919600,Romania1990,0.703,"38,995,454,545",1822,Silent
Kyrgyzstan,2000,male,25-34 years,91,377804,Kyrgyzstan2000,0.593,"1,369,693,171",313,Generation X
Mexico,1989,female,75+ years,5,632000,Mexico1989,,"222,977,046,516",3125,G.I. Generation
New Zealand,1991,male,5-14 years,4,265700,New Zealand1991,,"42,756,020,707",13345,Millenials
Guyana,2010,male,25-34 years,30,53501,Guyana2010,0.624,"2,273,225,042",3384,Generation X
Austria,1992,male,55-74 years,347,615819,Austria1992,,"195,078,126,346",26450,Silent
Panama,1985,female,75+ years,0,16000,Panama1985,0.648,"6,541,517,100",3443,G.I. Generation
Luxembourg,2015,male,55-74 years,16,54325,Luxembourg2015,,"57,784,495,265",107456,Boomers
Antigua and Barbuda,1999,male,55-74 years,0,3276,Antigua and Barbuda1999,,"766,198,926",10378,Silent
Armenia,2013,female,75+ years,6,95093,Armenia2013,0.731,"11,121,465,767",3957,Silent
Grenada,2014,female,5-14 years,0,8922,Grenada2014,0.75,"911,481,481",9456,Generation Z
Suriname,1986,male,75+ years,2,2867,Suriname1986,,"891,000,000",2731,G.I. Generation
Czech Republic,1995,male,25-34 years,180,695700,Czech Republic1995,0.785,"59,775,697,061",6134,Generation X
Bahamas,2002,female,75+ years,0,3880,Bahamas2002,,"8,881,160,000",31432,Silent
Hungary,2012,female,5-14 years,0,470870,Hungary2012,0.823,"127,856,647,108",13525,Generation Z
Qatar,2014,female,25-34 years,1,153842,Qatar2014,0.85,"206,224,725,275",91587,Millenials
Greece,1992,male,35-54 years,83,1302187,Greece1992,,"116,224,673,043",11818,Boomers
Switzerland,2013,female,35-54 years,100,1212632,Switzerland2013,0.928,"688,504,173,431",89634,Generation X
Slovakia,2000,female,5-14 years,1,373764,Slovakia2000,0.763,"29,114,875,622",5696,Millenials
Malta,1998,male,25-34 years,1,24400,Malta1998,,"3,923,637,971",11103,Generation X
Barbados,1987,female,35-54 years,2,24400,Barbados1987,,"1,713,771,321",7333,Silent
Mexico,1999,male,35-54 years,668,9064400,Mexico1999,,"600,232,874,043",6800,Boomers
Croatia,1995,male,55-74 years,216,418200,Croatia1995,0.694,"22,387,561,845",4978,Silent
Armenia,1996,male,15-24 years,4,320000,Armenia1996,,"1,596,968,913",458,Generation X
Ecuador,2004,male,5-14 years,30,1504779,Ecuador2004,,"36,591,661,000",3051,Millenials
Thailand,2010,male,55-74 years,511,4075634,Thailand2010,0.716,"341,105,009,515",5707,Silent
Uruguay,1990,female,75+ years,9,90000,Uruguay1990,0.692,"9,298,839,655",3281,G.I. Generation
New Zealand,2008,female,15-24 years,38,304640,New Zealand2008,,"133,279,679,483",33585,Millenials
Russian Federation,1991,female,5-14 years,65,11204500,Russian Federation1991,,"517,962,962,963",3773,Millenials
Saint Lucia,1998,male,25-34 years,2,11650,Saint Lucia1998,,"737,554,872",5407,Generation X
Grenada,1996,male,5-14 years,0,13546,Grenada1996,,"366,911,444",4087,Millenials
Uruguay,2003,female,55-74 years,34,303367,Uruguay2003,,"12,045,631,093",3929,Silent
Colombia,1993,male,35-54 years,215,3186600,Colombia1993,,"55,802,538,219",1845,Boomers
Panama,2010,male,55-74 years,17,189488,Panama2010,0.761,"29,440,287,600",8991,Silent
Seychelles,1987,female,15-24 years,0,7400,Seychelles1987,,"249,267,040",4276,Generation X
New Zealand,2004,male,5-14 years,4,312260,New Zealand2004,,"103,904,537,815",27325,Millenials
Finland,1999,male,35-54 years,408,806621,Finland1999,,"135,225,868,315",27800,Boomers
Thailand,1998,male,55-74 years,419,3207588,Thailand1998,,"113,675,706,127",2005,Silent
Trinidad and Tobago,2003,female,75+ years,2,21123,Trinidad and Tobago2003,,"11,305,459,802",9465,Silent
Russian Federation,2004,male,35-54 years,17465,20843896,Russian Federation2004,,"591,016,690,743",4312,Boomers
Uruguay,2013,female,55-74 years,25,318219,Uruguay2013,0.79,"57,531,233,351",18179,Boomers
Malta,1994,female,35-54 years,2,52900,Malta1994,,"2,998,570,147",8775,Boomers
Slovakia,1994,male,5-14 years,4,443362,Slovakia1994,,"20,079,363,626",4036,Millenials
Albania,2009,female,25-34 years,0,182712,Albania2009,,"12,044,212,904",4387,Generation X
Iceland,2004,male,35-54 years,9,41248,Iceland2004,,"13,722,824,251",50528,Boomers
South Africa,2012,male,75+ years,8,271907,South Africa2012,0.659,"396,332,702,639",8347,Silent
Switzerland,1997,male,35-54 years,354,1051900,Switzerland1997,,"286,519,135,327",42923,Boomers
Trinidad and Tobago,1987,female,15-24 years,8,132200,Trinidad and Tobago1987,,"4,797,777,778",4449,Generation X
Norway,1997,female,35-54 years,65,597800,Norway1997,,"161,354,369,893",39335,Boomers
Austria,1998,male,5-14 years,6,484321,Austria1998,,"218,259,904,402",28972,Millenials
Costa Rica,2005,female,5-14 years,2,392773,Costa Rica2005,0.723,"19,952,156,475",5133,Millenials
Australia,1999,male,25-34 years,511,1431712,Australia1999,,"388,395,162,301",22016,Generation X
Uruguay,2009,male,15-24 years,64,260287,Uruguay2009,,"31,660,911,277",10166,Millenials
Austria,2001,female,55-74 years,129,835836,Austria2001,,"197,337,879,195",25848,Silent
Netherlands,1998,male,35-54 years,375,2387900,Netherlands1998,,"432,476,116,419",29351,Boomers
Saint Vincent and Grenadines,1998,male,75+ years,1,1251,Saint Vincent and Grenadines1998,,"373,619,852",3874,G.I. Generation
Armenia,1996,male,5-14 years,1,390300,Armenia1996,,"1,596,968,913",458,Millenials
Ukraine,2003,female,75+ years,381,2008320,Ukraine2003,,"50,132,953,288",1097,Silent
Portugal,1986,female,35-54 years,74,1221937,Portugal1986,,"38,749,715,722",4145,Silent
Australia,2015,female,75+ years,52,884347,Australia2015,,"1,349,034,029,453",60656,Silent
Albania,1994,female,75+ years,2,39900,Albania1994,,"1,985,673,798",697,G.I. Generation
Albania,1987,male,15-24 years,21,312900,Albania1987,,"2,156,624,900",796,Generation X
Ireland,1993,female,15-24 years,9,300100,Ireland1993,,"52,480,253,169",15872,Generation X
Belgium,1986,male,5-14 years,3,630300,Belgium1986,,"120,661,220,336",12992,Generation X
Switzerland,2014,female,75+ years,47,408120,Switzerland2014,0.93,"709,182,559,935",90809,Silent
Guatemala,2009,male,5-14 years,7,1919024,Guatemala2009,,"37,733,994,976",3053,Generation Z
Jamaica,1987,female,35-54 years,1,187389,Jamaica1987,,"3,286,987,552",1587,Silent
Austria,2014,male,5-14 years,2,419646,Austria2014,0.885,"441,885,415,806",54278,Generation Z
Singapore,1986,female,15-24 years,16,246400,Singapore1986,,"18,569,292,305",7805,Generation X
Colombia,2003,male,75+ years,49,327352,Colombia2003,,"94,684,584,163",2489,Silent
Belgium,2003,female,15-24 years,39,616806,Belgium2003,,"319,002,821,670",32538,Millenials
Luxembourg,2003,male,5-14 years,1,29105,Luxembourg2003,,"29,557,325,056",69768,Millenials
Latvia,2005,female,15-24 years,6,170913,Latvia2005,0.806,"16,922,504,045",7916,Millenials
Ireland,1989,male,35-54 years,77,397500,Ireland1989,,"39,285,385,088",12188,Silent
Grenada,2012,male,35-54 years,1,11033,Grenada2012,0.74,"799,882,148",8382,Generation X
Azerbaijan,1998,male,15-24 years,2,702100,Azerbaijan1998,,"4,446,396,218",631,Generation X
Latvia,2007,male,75+ years,39,41634,Latvia2007,,"30,901,399,261",14758,Silent
Barbados,2001,female,55-74 years,0,20967,Barbados2001,,"3,116,650,000",12348,Silent
New Zealand,2005,male,25-34 years,86,264490,New Zealand2005,0.895,"114,718,721,397",29803,Generation X
Thailand,2000,female,25-34 years,261,5675628,Thailand2000,0.648,"126,392,308,498",2169,Generation X
Israel,2008,female,5-14 years,2,648707,Israel2008,,"215,840,354,627",32874,Generation Z
Portugal,2011,female,35-54 years,76,1603401,Portugal2011,0.825,"244,895,101,712",24337,Generation X
Guyana,2008,female,75+ years,1,6197,Guyana2008,,"1,922,598,121",2873,Silent
Latvia,1998,male,75+ years,27,31100,Latvia1998,,"7,174,985,107",3061,G.I. Generation
Turkmenistan,2012,male,35-54 years,39,584037,Turkmenistan2012,0.677,"35,164,210,526",7498,Generation X
Russian Federation,2001,male,35-54 years,21262,21476420,Russian Federation2001,,"306,602,673,980",2229,Boomers
Croatia,2009,female,35-54 years,45,634366,Croatia2009,,"62,703,143,057",14872,Boomers
Denmark,2002,female,5-14 years,0,328734,Denmark2002,,"178,635,160,297",35435,Millenials
United Kingdom,1985,male,55-74 years,915,5170113,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
Germany,1993,female,5-14 years,13,4328200,Germany1993,,"2,068,555,542,411",26937,Millenials
Austria,1997,female,5-14 years,1,461121,Austria1997,,"212,790,348,405",28325,Millenials
Switzerland,2004,male,25-34 years,86,498009,Switzerland2004,,"394,163,688,621",56123,Generation X
El Salvador,2012,male,5-14 years,11,650570,El Salvador2012,0.662,"21,386,153,000",3806,Generation Z
Belgium,1985,female,15-24 years,33,744100,Belgium1985,0.774,"86,730,038,793",9356,Generation X
Malta,2003,male,25-34 years,6,28256,Malta2003,,"5,456,583,589",14444,Generation X
Ireland,1995,male,25-34 years,67,253100,Ireland1995,0.803,"69,222,626,263",20689,Generation X
Russian Federation,2005,male,15-24 years,5750,12357989,Russian Federation2005,,"764,017,107,992",5611,Millenials
Suriname,2010,female,55-74 years,3,30084,Suriname2010,0.707,"4,368,398,048",9176,Silent
Israel,2003,male,15-24 years,62,566251,Israel2003,,"126,864,966,909",21133,Millenials
Malta,2010,male,55-74 years,4,46730,Malta2010,0.824,"8,741,059,603",22132,Silent
Hungary,2014,female,5-14 years,0,473335,Hungary2014,0.828,"140,118,140,455",14886,Generation Z
Kuwait,1996,female,75+ years,0,2700,Kuwait1996,,"31,493,987,642",20076,G.I. Generation
Guatemala,1987,male,35-54 years,49,588914,Guatemala1987,,"7,084,399,840",997,Silent
Brazil,2014,female,55-74 years,389,14550395,Brazil2014,0.755,"2,455,993,625,159",12975,Boomers
Japan,2003,male,35-54 years,8948,16966000,Japan2003,,"4,445,658,071,222",36926,Boomers
Antigua and Barbuda,1999,female,75+ years,0,1451,Antigua and Barbuda1999,,"766,198,926",10378,G.I. Generation
Slovakia,2004,male,15-24 years,54,447491,Slovakia2004,,"57,240,535,138",11177,Millenials
France,2008,female,55-74 years,843,6570343,France2008,,"2,918,382,891,460",49901,Silent
Guatemala,1987,female,5-14 years,2,1218497,Guatemala1987,,"7,084,399,840",997,Generation X
Japan,2007,female,15-24 years,596,6430000,Japan2007,,"4,515,264,514,431",37408,Millenials
Belize,1999,male,55-74 years,0,7244,Belize1999,,"732,732,350",3615,Silent
Seychelles,2010,male,15-24 years,0,8078,Seychelles2010,0.743,"969,936,525",11563,Millenials
Turkmenistan,2004,female,55-74 years,4,172232,Turkmenistan2004,,"6,838,351,088",1624,Silent
Estonia,2004,male,75+ years,13,23510,Estonia2004,,"12,059,201,242",9293,Silent
Czech Republic,2014,male,55-74 years,364,1197687,Czech Republic2014,0.87,"207,818,330,724",20859,Boomers
Trinidad and Tobago,1989,female,35-54 years,11,115000,Trinidad and Tobago1989,,"4,323,058,824",4040,Silent
Suriname,2005,female,35-54 years,2,58932,Suriname2005,0.692,"1,793,754,805",4009,Boomers
San Marino,1999,female,25-34 years,0,2329,San Marino1999,,"1,215,640,315",48255,Generation X
Kuwait,1993,male,25-34 years,6,207800,Kuwait1993,,"23,941,391,391",18798,Boomers
Trinidad and Tobago,2005,male,15-24 years,18,132433,Trinidad and Tobago2005,0.753,"15,982,282,462",13258,Millenials
Romania,1990,female,15-24 years,69,1887200,Romania1990,0.703,"38,995,454,545",1822,Generation X
Saint Kitts and Nevis,1992,male,55-74 years,0,2500,Saint Kitts and Nevis1992,,"229,434,519",5868,Silent
Kuwait,2010,male,75+ years,0,8151,Kuwait2010,0.809,"115,419,050,942",35171,Silent
Portugal,2012,female,35-54 years,54,1613054,Portugal2012,0.827,"216,368,178,659",21573,Generation X
Trinidad and Tobago,1996,female,15-24 years,15,115355,Trinidad and Tobago1996,,"5,759,537,726",4982,Generation X
Turkey,2010,male,75+ years,63,841083,Turkey2010,0.738,"771,901,768,698",11525,Silent
Chile,1989,female,55-74 years,12,715000,Chile1989,,"29,885,685,143",2599,G.I. Generation
Mauritius,1993,female,5-14 years,2,97600,Mauritius1993,,"3,263,368,410",3405,Millenials
Ecuador,2003,male,75+ years,11,125204,Ecuador2003,,"32,432,858,000",2755,Silent
Iceland,1994,female,5-14 years,0,20700,Iceland1994,,"6,294,803,497",25937,Millenials
Russian Federation,1999,male,5-14 years,402,10490300,Russian Federation1999,,"195,905,767,669",1412,Millenials
Australia,1993,male,25-34 years,392,1413500,Australia1993,,"311,528,948,848",19030,Boomers
Romania,1992,female,25-34 years,58,1374900,Romania1992,,"25,121,666,667",1183,Boomers
Ireland,1991,male,35-54 years,91,407900,Ireland1991,,"49,847,128,533",15328,Boomers
Panama,2008,female,5-14 years,2,334826,Panama2008,,"25,155,888,600",7972,Generation Z
Portugal,1986,female,25-34 years,32,723861,Portugal1986,,"38,749,715,722",4145,Boomers
Portugal,2007,female,25-34 years,18,799081,Portugal2007,,"240,169,336,162",24003,Generation X
Bahamas,2013,male,5-14 years,0,26496,Bahamas2013,0.786,"10,627,600,000",30455,Generation Z
Kuwait,2008,male,15-24 years,5,283568,Kuwait2008,,"147,395,833,333",43746,Millenials
Romania,2005,female,15-24 years,28,1636907,Romania2005,0.751,"99,697,566,668",4847,Millenials
Kuwait,2006,male,15-24 years,2,215810,Kuwait2006,,"101,550,654,721",46890,Millenials
Georgia,2006,male,35-54 years,18,574450,Georgia2006,,"7,745,406,201",1859,Boomers
Armenia,2006,male,35-54 years,17,367346,Armenia2006,,"6,384,451,606",2310,Boomers
Guyana,1998,female,25-34 years,0,65510,Guyana1998,,"717,530,683",1092,Generation X
Montenegro,2008,female,35-54 years,15,86228,Montenegro2008,,"4,545,674,528",7705,Boomers
Aruba,2011,female,25-34 years,1,6264,Aruba2011,,"2,584,463,687",27066,Millenials
Colombia,2002,female,55-74 years,28,1874594,Colombia2002,,"97,933,391,976",2613,Silent
Uruguay,1999,female,25-34 years,9,232218,Uruguay1999,,"23,983,945,191",7903,Generation X
Australia,2001,male,15-24 years,280,1351444,Australia2001,,"378,215,090,694",20860,Millenials
Slovakia,2010,male,25-34 years,76,472324,Slovakia2010,0.827,"89,501,012,916",17387,Generation X
Austria,1989,female,55-74 years,182,807459,Austria1989,,"133,105,805,928",18544,G.I. Generation
Japan,2011,male,25-34 years,2404,7588000,Japan2011,0.886,"6,157,459,594,824",50919,Millenials
Czech Republic,1996,female,15-24 years,24,835700,Czech Republic1996,,"66,985,765,439",6861,Generation X
Romania,2000,male,55-74 years,658,1934900,Romania2000,0.706,"37,438,527,800",1758,Silent
Sri Lanka,2002,female,55-74 years,106,1153099,Sri Lanka2002,,"16,536,535,647",951,Silent
Trinidad and Tobago,1999,female,25-34 years,8,94694,Trinidad and Tobago1999,,"6,808,982,521",5803,Generation X
Guyana,2008,female,55-74 years,7,33157,Guyana2008,,"1,922,598,121",2873,Silent
Australia,1990,male,75+ years,87,276900,Australia1990,0.865,"310,838,014,621",19665,G.I. Generation
Turkmenistan,1990,female,25-34 years,16,306400,Turkmenistan1990,,"3,189,539,641",1036,Boomers
Spain,2001,female,35-54 years,234,5635311,Spain2001,,"625,975,838,926",16169,Boomers
Singapore,1994,male,55-74 years,37,157700,Singapore1994,,"73,777,792,327",27202,Silent
Armenia,2015,female,75+ years,5,100754,Armenia2015,,"10,553,337,673",3775,Silent
Sweden,1990,male,5-14 years,4,503700,Sweden1990,0.815,"258,154,283,909",32246,Generation X
Germany,2006,female,35-54 years,832,12694086,Germany2006,,"3,002,446,368,084",38088,Boomers
Costa Rica,1993,female,25-34 years,9,277700,Costa Rica1993,,"9,537,297,507",3342,Boomers
Hungary,2002,female,15-24 years,25,692093,Hungary2002,,"67,716,887,203",6995,Millenials
Costa Rica,1989,female,25-34 years,7,251000,Costa Rica1989,,"6,866,402,028",2686,Boomers
Italy,1999,male,25-34 years,481,4605442,Italy1999,,"1,248,563,179,203",23002,Generation X
Puerto Rico,2015,male,75+ years,25,90392,Puerto Rico2015,,"103,143,500,000",29728,Silent
United Kingdom,2015,female,5-14 years,6,3663221,United Kingdom2015,,"2,885,570,309,161",47240,Generation Z
Netherlands,2010,female,5-14 years,1,970105,Netherlands2010,0.909,"836,389,937,229",53302,Generation Z
New Zealand,1990,male,5-14 years,2,257900,New Zealand1990,0.82,"45,519,034,244",14734,Generation X
Japan,2001,male,75+ years,1692,3404000,Japan2001,,"4,303,544,259,843",35843,Silent
Finland,2010,male,35-54 years,241,719196,Finland2010,0.878,"247,799,815,768",48939,Generation X
France,1990,female,75+ years,661,2583600,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
Mauritius,2001,female,75+ years,1,17391,Mauritius2001,,"4,536,538,211",4244,Silent
Italy,2001,male,55-74 years,916,5867231,Italy2001,,"1,162,317,852,349",21392,Silent
Fiji,2001,female,35-54 years,0,89055,Fiji2001,,"1,660,102,346",2307,Boomers
Saint Vincent and Grenadines,2004,male,35-54 years,2,13116,Saint Vincent and Grenadines2004,,"521,975,111",5286,Boomers
Ukraine,2010,female,75+ years,303,2016954,Ukraine2010,0.732,"136,013,155,905",3141,Silent
Cyprus,2006,male,25-34 years,4,53856,Cyprus2006,,"20,403,713,461",28600,Generation X
Paraguay,1990,female,75+ years,1,32425,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
Norway,1991,male,55-74 years,120,361500,Norway1991,,"121,872,464,483",30678,Silent
Trinidad and Tobago,2000,male,75+ years,4,11957,Trinidad and Tobago2000,0.717,"8,154,338,233",6920,G.I. Generation
Kuwait,2002,female,75+ years,0,5290,Kuwait2002,,"38,137,545,245",17668,Silent
Thailand,1992,female,35-54 years,283,6521746,Thailand1992,,"111,452,869,378",2120,Boomers
Fiji,2006,female,75+ years,0,5052,Fiji2006,,"3,102,741,451",4206,Silent
Mexico,2014,male,75+ years,177,1376264,Mexico2014,0.756,"1,314,385,330,073",11663,Silent
Aruba,2002,female,75+ years,0,1545,Aruba2002,,"1,941,094,972",21987,Silent
Lithuania,1999,female,75+ years,37,121573,Lithuania1999,,"10,972,878,636",3292,G.I. Generation
Portugal,1998,female,75+ years,34,401444,Portugal1998,,"123,981,736,420",12892,G.I. Generation
Costa Rica,1990,female,55-74 years,2,119000,Costa Rica1990,0.652,"7,403,457,319",2817,G.I. Generation
Switzerland,2015,male,5-14 years,2,411880,Switzerland2015,,"679,289,166,858",86068,Generation Z
Canada,1987,male,75+ years,117,408700,Canada1987,,"431,316,742,081",18124,G.I. Generation
Croatia,2003,male,25-34 years,66,299000,Croatia2003,,"34,658,113,497",8202,Generation X
Mauritius,2009,female,25-34 years,5,98003,Mauritius2009,,"9,128,843,109",7873,Generation X
El Salvador,2013,male,25-34 years,95,409974,El Salvador2013,0.664,"21,977,401,900",3885,Millenials
Georgia,2000,male,15-24 years,8,346050,Georgia2000,0.672,"3,057,453,483",734,Generation X
Panama,2007,female,35-54 years,7,406328,Panama2007,,"21,295,984,200",6876,Boomers
Costa Rica,2004,female,55-74 years,6,228002,Costa Rica2004,,"18,529,767,934",4850,Silent
El Salvador,2011,male,25-34 years,100,402814,El Salvador2011,0.658,"20,283,783,700",3631,Millenials
Canada,1992,male,15-24 years,504,2042300,Canada1992,,"592,387,689,253",22393,Generation X
United Kingdom,2002,female,15-24 years,90,3642294,United Kingdom2002,,"1,768,408,273,381",31630,Millenials
Czech Republic,1990,female,55-74 years,196,1017200,Czech Republic1990,0.761,"40,477,403,220",4168,G.I. Generation
Guatemala,1989,male,35-54 years,31,616089,Guatemala1989,,"8,410,724,361",1122,Silent
Qatar,2001,female,35-54 years,4,51357,Qatar2001,,"17,538,461,538",32510,Boomers
Spain,2008,male,75+ years,484,1470360,Spain2008,,"1,635,015,380,108",37848,Silent
Kyrgyzstan,2002,male,55-74 years,50,170209,Kyrgyzstan2002,,"1,605,640,633",359,Silent
Jamaica,1988,male,55-74 years,0,107366,Jamaica1988,,"3,828,310,735",1831,G.I. Generation
Slovakia,1993,male,25-34 years,93,389917,Slovakia1993,,"16,452,201,101",3334,Boomers
Paraguay,1989,male,5-14 years,0,534185,Paraguay1989,,"4,599,970,618",1330,Generation X
Iceland,2006,male,25-34 years,2,23135,Iceland2006,,"17,048,647,568",60243,Generation X
Turkey,2010,male,55-74 years,175,4131848,Turkey2010,0.738,"771,901,768,698",11525,Silent
Sweden,2000,male,25-34 years,114,626512,Sweden2000,0.897,"259,802,012,617",30896,Generation X
Kyrgyzstan,2005,male,35-54 years,136,559702,Kyrgyzstan2005,0.614,"2,460,248,026",533,Boomers
South Africa,1997,female,55-74 years,2,1839119,South Africa1997,,"152,586,154,514",3960,Silent
